loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
5176-3;Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;IA;{Index_val};http://loinc.org;Pt
7902-0;Helicobacter pylori IgG Ab [Units/volume] in Serum;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5176-3;Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;IA;{Index_val};http://loinc.org;Pt
7902-0;Helicobacter pylori IgG Ab [Units/volume] in Serum;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5176-3;Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;IA;{Index_val};http://loinc.org;Pt
5176-3;Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;IA;{Index_val};http://loinc.org;Pt
5176-3;Helicobacter pylori IgG Ab [Units/volume] in Serum by Immunoassay;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;IA;{Index_val};http://loinc.org;Pt
7902-0;Helicobacter pylori IgG Ab [Units/volume] in Serum;Helicobacter pylori Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
16127-3;Helicobacter pylori IgM Ab [Presence] in Serum;Helicobacter pylori Ab.IgM;PrThr;Ser;Ord;;;http://loinc.org;Pt
46987-4;Helicobacter pylori IgM Ab [Presence] in Serum by Immunoassay;Helicobacter pylori Ab.IgM;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
7903-8;Helicobacter pylori IgM Ab [Units/volume] in Serum;Helicobacter pylori Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
7903-8;Helicobacter pylori IgM Ab [Units/volume] in Serum;Helicobacter pylori Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5177-1;Helicobacter pylori IgM Ab [Units/volume] in Serum by Immunoassay;Helicobacter pylori Ab.IgM;ACnc;Ser;Qn;IA;{Index_val};http://loinc.org;Pt
22310-7;Helicobacter pylori Ab [Presence] in Serum;Helicobacter pylori Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
31843-6;Helicobacter pylori Ag [Presence] in Stool;Helicobacter pylori Ag;PrThr;Stool;Ord;;;http://loinc.org;Pt
31843-6;Helicobacter pylori Ag [Presence] in Stool;Helicobacter pylori Ag;PrThr;Stool;Ord;;;http://loinc.org;Pt
80373-4;Helicobacter pylori Ag [Presence] in Stool by Rapid immunoassay;Helicobacter pylori Ag;PrThr;Stool;Ord;IA.rapid;;http://loinc.org;Pt
17780-8;Helicobacter pylori Ag [Presence] in Stool by Immunoassay;Helicobacter pylori Ag;PrThr;Stool;Ord;IA;;http://loinc.org;Pt
43848-1;Chlamydia trachomatis IgG Ab [Presence] in Serum;Chlamydia trachomatis Ab.IgG;PrThr;Ser;Ord;;;http://loinc.org;Pt
45135-1;Chlamydia trachomatis IgG Ab [Presence] in Serum by Immunoassay;Chlamydia trachomatis Ab.IgG;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
5089-8;Chlamydia trachomatis IgG Ab [Units/volume] in Serum;Chlamydia trachomatis Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
26715-3;Chlamydia trachomatis IgG Ab [Units/volume] in Serum by Immunoassay;Chlamydia trachomatis Ab.IgG;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
26715-3;Chlamydia trachomatis IgG Ab [Units/volume] in Serum by Immunoassay;Chlamydia trachomatis Ab.IgG;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
21186-2;Chlamydia sp IgM Ab [Presence] in Serum;Chlamydia sp Ab.IgM;PrThr;Ser;Ord;;;http://loinc.org;Pt
5086-4;Chlamydia sp IgM Ab [Units/volume] in Serum;Chlamydia sp Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5086-4;Chlamydia sp IgM Ab [Units/volume] in Serum;Chlamydia sp Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5086-4;Chlamydia sp IgM Ab [Units/volume] in Serum;Chlamydia sp Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
87949-4;Chlamydia trachomatis DNA [Presence] in Tissue by NAA with probe detection;Chlamydia trachomatis DNA;PrThr;Tiss;Ord;Probe.amp.tar;;http://loinc.org;Pt
45086-6;Chlamydia trachomatis DNA [Presence] in Nasopharynx by NAA with probe detection;Chlamydia trachomatis DNA;PrThr;Nph;Ord;Probe.amp.tar;;http://loinc.org;Pt
88221-7;Chlamydia trachomatis DNA [Presence] in Throat by NAA with probe detection;Chlamydia trachomatis DNA;PrThr;Thrt;Ord;Probe.amp.tar;;http://loinc.org;Pt
92133-8;Chlamydophila pneumoniae DNA [Presence] in Respiratory specimen by NAA with probe detection;Chlamydophila pneumoniae DNA;PrThr;Respiratory;Ord;Probe.amp.tar;;http://loinc.org;Pt
29610-3;Hepatitis B virus DNA [Presence] in Serum or Plasma by NAA with probe detection;Hepatitis B virus DNA;PrThr;Ser/Plas;Ord;Probe.amp.tar;;http://loinc.org;Pt
32686-8;Hepatitis B virus DNA [Mass/volume] in Serum;Hepatitis B virus DNA;MCnc;Ser;Qn;;pg/mL;http://loinc.org;Pt
11258-1;Hepatitis B virus DNA [Units/volume] in Serum;Hepatitis B virus DNA;ACnc;Ser;Qn;;[IU]/mL;http://loinc.org;Pt
42595-9;Hepatitis B virus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection;Hepatitis B virus DNA;ACnc;Ser/Plas;Qn;Probe.amp.tar;[IU]/mL;http://loinc.org;Pt
45161-7;Hepatitis B virus DNA [Log #/volume] (viral load) in Serum or Plasma by NAA with probe detection;Hepatitis B virus DNA;LnCnc;Ser/Plas;Qn;Probe.amp.tar;{Log_copies}/mL;http://loinc.org;Pt
32366-7;Hepatitis B virus genotype [Identifier] in Serum or Plasma by NAA with probe detection;Hepatitis B virus genotype;Prid;Ser/Plas;Nom;Probe.amp.tar;;http://loinc.org;Pt
91064-6;Dengue virus NS1 Ag [Presence] in Serum or Plasma by Immunoassay;Dengue virus NS1 Ag;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
75377-2;Dengue virus NS1 Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay;Dengue virus NS1 Ag;PrThr;Ser/Plas/Bld;Ord;IA.rapid;;http://loinc.org;Pt
75377-2;Dengue virus NS1 Ag [Presence] in Serum, Plasma or Blood by Rapid immunoassay;Dengue virus NS1 Ag;PrThr;Ser/Plas/Bld;Ord;IA.rapid;;http://loinc.org;Pt
87546-8;Dengue virus IgG and IgM panel - Serum Qualitative;Dengue virus Ab.IgG & IgM panel;-;Ser;Ord;;;http://loinc.org;Pt
29676-4;Dengue virus IgG Ab [Presence] in Serum;Dengue virus Ab.IgG;PrThr;Ser;Ord;;;http://loinc.org;Pt
29661-6;Dengue virus IgG Ab [Presence] in Serum or Plasma by Immunoassay;Dengue virus Ab.IgG;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
100964-6;Dengue virus IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay;Dengue virus Ab.IgG;PrThr;Ser/Plas/Bld;Ord;IA.rapid;;http://loinc.org;Pt
23958-2;Dengue virus IgG Ab [Units/volume] in Serum;Dengue virus Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
23991-3;Dengue virus IgG Ab [Units/volume] in Serum by Immunoassay;Dengue virus Ab.IgG;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
23991-3;Dengue virus IgG Ab [Units/volume] in Serum by Immunoassay;Dengue virus Ab.IgG;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
23991-3;Dengue virus IgG Ab [Units/volume] in Serum by Immunoassay;Dengue virus Ab.IgG;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
23958-2;Dengue virus IgG Ab [Units/volume] in Serum;Dengue virus Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
25338-5;Dengue virus IgM Ab [Presence] in Serum;Dengue virus Ab.IgM;PrThr;Ser;Ord;;;http://loinc.org;Pt
29663-2;Dengue virus IgM Ab [Presence] in Serum or Plasma by Immunoassay;Dengue virus Ab.IgM;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
25338-5;Dengue virus IgM Ab [Presence] in Serum;Dengue virus Ab.IgM;PrThr;Ser;Ord;;;http://loinc.org;Pt
23968-1;Dengue virus IgM Ab [Units/volume] in Serum;Dengue virus Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
23992-1;Dengue virus IgM Ab [Units/volume] in Serum by Immunoassay;Dengue virus Ab.IgM;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
23992-1;Dengue virus IgM Ab [Units/volume] in Serum by Immunoassay;Dengue virus Ab.IgM;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
23992-1;Dengue virus IgM Ab [Units/volume] in Serum by Immunoassay;Dengue virus Ab.IgM;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
23968-1;Dengue virus IgM Ab [Units/volume] in Serum;Dengue virus Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
95706-8;Dengue virus IgA Ab [Presence] in Specimen by Immunoassay;Dengue virus Ab.IgA;PrThr;XXX;Ord;IA;;http://loinc.org;Pt
7918-6;HIV 1+2 Ab [Presence] in Serum;HIV 1+2 Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
31201-7;HIV 1+2 Ab [Presence] in Serum or Plasma by Immunoassay;HIV 1+2 Ab;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
31201-7;HIV 1+2 Ab [Presence] in Serum or Plasma by Immunoassay;HIV 1+2 Ab;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
31201-7;HIV 1+2 Ab [Presence] in Serum or Plasma by Immunoassay;HIV 1+2 Ab;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
80387-4;HIV 1+2 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay;HIV 1+2 Ab;PrThr;Ser/Plas/Bld;Ord;IA.rapid;;http://loinc.org;Pt
80387-4;HIV 1+2 Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay;HIV 1+2 Ab;PrThr;Ser/Plas/Bld;Ord;IA.rapid;;http://loinc.org;Pt
95524-5;HIV 1 and 2 Ab [Identifier] in Serum or Plasma by Immunoassay;HIV 1 & 2 Ab;Prid;Ser/Plas;Nom;IA;;http://loinc.org;Pt
69668-2;HIV 1 and 2 Ab [Identifier] in Serum or Plasma by Rapid immunoassay;HIV 1 & 2 Ab;Prid;Ser/Plas;Nom;IA.rapid;;http://loinc.org;Pt
X099138;HIV Western Blot;;;Ser;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
44873-8;HIV 1+2 Ab [Presence] in Serum by Immunoblot;HIV 1+2 Ab;PrThr;Ser;Ord;IB;;http://loinc.org;Pt
20507-0;Reagin Ab [Presence] in Serum by RPR;Reagin Ab;PrThr;Ser;Ord;RPR;;http://loinc.org;Pt
93870-4;NMDAR subunit 1 Ab [Presence] in Serum by Cell binding immunofluorescent assay;N-methyl-D-aspartate receptor subunit 1 Ab;PrThr;Ser;Ord;CBA IFA;;http://loinc.org;Pt
84928-1;NMDAR subunit 1 Ab [Presence] in Serum by Immunofluorescence;N-methyl-D-aspartate receptor subunit 1 Ab;PrThr;Ser;Ord;IF;;http://loinc.org;Pt
71775-1;Mycobacterium tuberculosis stimulated gamma interferon panel - Blood;Mycobacterium tuberculosis stimulated gamma interferon panel;-;Bld;-;;;http://loinc.org;Pt
71773-6;Mycobacterium tuberculosis stimulated gamma interferon [Interpretation] in Blood Qualitative;Mycobacterium tuberculosis stimulated gamma interferon;Imp;Bld;Ord;;;http://loinc.org;Pt
71773-6;Mycobacterium tuberculosis stimulated gamma interferon [Interpretation] in Blood Qualitative;Mycobacterium tuberculosis stimulated gamma interferon;Imp;Bld;Ord;;;http://loinc.org;Pt
55224-0;Mycobacterium tuberculosis A60 Ab [Presence] in Serum by Immunoassay;Mycobacterium tuberculosis A60 Ab;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
55224-0;Mycobacterium tuberculosis A60 Ab [Presence] in Serum by Immunoassay;Mycobacterium tuberculosis A60 Ab;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
54146-6;Mycobacterium tuberculosis IgG Ab [Units/volume] in Serum by Immunoassay;Mycobacterium tuberculosis Ab.IgG;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
X099139;Antigen M. tuberculosis;;;Ser;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
22428-7;Mycoplasma sp Ab [Presence] in Serum;Mycoplasma sp Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
31517-6;Mycoplasma sp Ab [Units/volume] in Serum;Mycoplasma sp Ab;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
X099140;IgG Anti Mycoplasma;;;Ser;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099141;IgG Anti Mycoplasma;;;Ser;Qn;;U/mL;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099142;IgM Anti Mycoplasma;;;Ser;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099143;IgM Anti Mycoplasma;;;Ser;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
46198-8;Mycoplasma pneumoniae IgG Ab [Presence] in Serum;Mycoplasma pneumoniae Ab.IgG;PrThr;Ser;Ord;;;http://loinc.org;Pt
45224-3;Mycoplasma pneumoniae IgG Ab [Presence] in Serum by Immunoassay;Mycoplasma pneumoniae Ab.IgG;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
7970-7;Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum;Mycoplasma pneumoniae Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5255-5;Mycoplasma pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay;Mycoplasma pneumoniae Ab.IgG;ACnc;Ser;Qn;IA;"[arb'U]/mL;{Index_val}";http://loinc.org;Pt
21406-4;Mycoplasma pneumoniae IgM Ab [Presence] in Serum;Mycoplasma pneumoniae Ab.IgM;PrThr;Ser;Ord;;;http://loinc.org;Pt
5257-1;Mycoplasma pneumoniae IgM Ab [Presence] in Serum by Immunoassay;Mycoplasma pneumoniae Ab.IgM;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
8078-8;Mycoplasma pneumoniae IgM Ab [Units/volume] in Serum;Mycoplasma pneumoniae Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5256-3;Mycoplasma pneumoniae IgM Ab [Units/volume] in Serum by Immunoassay;Mycoplasma pneumoniae Ab.IgM;ACnc;Ser;Qn;IA;"[arb'U]/mL;{Index_val}";http://loinc.org;Pt
26881-3;Interleukin 6 [Mass/volume] in Serum or Plasma;Interleukin 6;MCnc;Ser/Plas;Qn;;pg/mL;http://loinc.org;Pt
26881-3;Interleukin 6 [Mass/volume] in Serum or Plasma;Interleukin 6;MCnc;Ser/Plas;Qn;;pg/mL;http://loinc.org;Pt
9674-3;Salmonella sp IgM Ab [Units/volume] in Serum;Salmonella sp Ab.IgM;ACnc;Ser;Qn;;[arb'U];http://loinc.org;Pt
17566-1;Salmonella typhi O Ab [Presence] in Serum;Salmonella typhi O Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
9673-5;Salmonella sp IgG Ab [Units/volume] in Serum;Salmonella sp Ab.IgG;ACnc;Ser;Qn;;[arb'U];http://loinc.org;Pt
9673-5;Salmonella sp IgG Ab [Units/volume] in Serum;Salmonella sp Ab.IgG;ACnc;Ser;Qn;;[arb'U];http://loinc.org;Pt
17566-1;Salmonella typhi O Ab [Presence] in Serum;Salmonella typhi O Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5346-2;Salmonella typhi O Ab [Presence] in Serum by Latex agglutination;Salmonella typhi O Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22529-2;Salmonella typhi H Ab [Presence] in Serum;Salmonella typhi H Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5345-4;Salmonella typhi H Ab [Presence] in Serum by Latex agglutination;Salmonella typhi H Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22519-3;Salmonella paratyphi A O Ab [Presence] in Serum;Salmonella paratyphi A O Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5340-5;Salmonella paratyphi A O Ab [Presence] in Serum by Latex agglutination;Salmonella paratyphi A O Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22517-7;Salmonella paratyphi A H Ab [Presence] in Serum;Salmonella paratyphi A H Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5339-7;Salmonella paratyphi A H Ab [Presence] in Serum by Latex agglutination;Salmonella paratyphi A H Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22523-5;Salmonella paratyphi B O Ab [Presence] in Serum;Salmonella paratyphi B O Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5342-1;Salmonella paratyphi B O Ab [Presence] in Serum by Latex agglutination;Salmonella paratyphi B O Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22521-9;Salmonella paratyphi B H Ab [Presence] in Serum;Salmonella paratyphi B H Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5341-3;Salmonella paratyphi B H Ab [Presence] in Serum by Latex agglutination;Salmonella paratyphi B H Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22525-0;Salmonella paratyphi C O Ab [Presence] in Serum;Salmonella paratyphi C O Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5344-7;Salmonella paratyphi C O Ab [Presence] in Serum by Latex agglutination;Salmonella paratyphi C O Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22524-3;Salmonella paratyphi C H Ab [Presence] in Serum;Salmonella paratyphi C H Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5343-9;Salmonella paratyphi C H Ab [Presence] in Serum by Latex agglutination;Salmonella paratyphi C H Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
53956-9;Salmonella typhi [Identifier] in Isolate by Agglutination;Salmonella typhi;Prid;Isolate;Nom;Aggl;;http://loinc.org;Pt
X099144;Antigen Salmonella paratyphi;;;Ser;Ord;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
22472-5;Rickettsia (Proteus OXK) Ab [Presence] in Serum;Rickettsia (Proteus OXK) Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5305-8;Rickettsia (Proteus OXK) Ab [Presence] in Serum by Latex agglutination;Rickettsia (Proteus OXK) Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22473-3;Rickettsia (Proteus OXK) Ab [Titer] in Serum;Rickettsia (Proteus OXK) Ab;Titr;Ser;Qn;;{titer};http://loinc.org;Pt
21491-6;Rickettsia (Proteus OXK) Ab [Titer] in Serum by Latex agglutination;Rickettsia (Proteus OXK) Ab;Titr;Ser;Qn;LA;{titer};http://loinc.org;Pt
31594-5;Rickettsia (Proteus OXK) Ab [Units/volume] in Serum;Rickettsia (Proteus OXK) Ab;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
22468-3;Rickettsia (Proteus OX19) Ab [Presence] in Serum;Rickettsia (Proteus OX19) Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
5303-3;Rickettsia (Proteus OX19) Ab [Presence] in Serum by Latex agglutination;Rickettsia (Proteus OX19) Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
22469-1;Rickettsia (Proteus OX19) Ab [Titer] in Serum;Rickettsia (Proteus OX19) Ab;Titr;Ser;Qn;;{titer};http://loinc.org;Pt
21489-0;Rickettsia (Proteus OX19) Ab [Titer] in Serum by Latex agglutination;Rickettsia (Proteus OX19) Ab;Titr;Ser;Qn;LA;{titer};http://loinc.org;Pt
31593-7;Rickettsia (Proteus OX19) Ab [Units/volume] in Serum;Rickettsia (Proteus OX19) Ab;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
55162-2;HTLV I+II Ab panel - Serum;HTLV I+II Ab panel;-;Ser;-;;;http://loinc.org;Pt
22362-8;HTLV I+II Ab [Presence] in Serum;HTLV I+II Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
29901-6;HTLV I+II Ab [Presence] in Serum by Immunoassay;HTLV I+II Ab;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
22363-6;HTLV I+II Ab [Units/volume] in Serum;HTLV I+II Ab;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5226-6;HTLV I+II Ab [Units/volume] in Serum by Immunoassay;HTLV I+II Ab;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
23202-5;Leptospira sp IgM Ab [Presence] in Serum;Leptospira sp Ab.IgM;PrThr;Ser;Ord;;;http://loinc.org;Pt
23201-7;Leptospira sp IgM Ab [Presence] in Serum by Immunoassay;Leptospira sp Ab.IgM;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
31487-2;Leptospira sp IgM Ab [Units/volume] in Serum;Leptospira sp Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
31487-2;Leptospira sp IgM Ab [Units/volume] in Serum;Leptospira sp Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
51819-1;Leptospira sp IgM Ab [Units/volume] in Serum by Immunoassay;Leptospira sp Ab.IgM;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
93979-3;Chikungunya virus IgG Ab [Presence] in Serum or Plasma;Chikungunya virus Ab.IgG;PrThr;Ser/Plas;Ord;;;http://loinc.org;Pt
88630-9;Chikungunya virus IgG Ab [Presence] in Serum or Plasma by Immunoassay;Chikungunya virus Ab.IgG;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
93979-3;Chikungunya virus IgG Ab [Presence] in Serum or Plasma;Chikungunya virus Ab.IgG;PrThr;Ser/Plas;Ord;;;http://loinc.org;Pt
97866-8;Chikungunya virus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay;Chikungunya virus Ab.IgG;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
57934-2;Chikungunya virus IgM Ab [Presence] in Serum or Plasma;Chikungunya virus Ab.IgM;PrThr;Ser/Plas;Ord;;;http://loinc.org;Pt
88629-1;Chikungunya virus IgM Ab [Presence] in Serum or Plasma by Immunoassay;Chikungunya virus Ab.IgM;PrThr;Ser/Plas;Ord;IA;;http://loinc.org;Pt
97867-6;Chikungunya virus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay;Chikungunya virus Ab.IgM;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
97867-6;Chikungunya virus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay;Chikungunya virus Ab.IgM;ACnc;Ser/Plas;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
30340-4;Epstein Barr virus capsid IgM Ab [Presence] in Serum;Epstein Barr virus capsid Ab.IgM;PrThr;Ser;Ord;;;http://loinc.org;Pt
24115-8;Epstein Barr virus capsid IgM Ab [Presence] in Serum by Immunoassay;Epstein Barr virus capsid Ab.IgM;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
7886-5;Epstein Barr virus capsid IgM Ab [Units/volume] in Serum;Epstein Barr virus capsid Ab.IgM;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5159-9;Epstein Barr virus capsid IgM Ab [Units/volume] in Serum by Immunoassay;Epstein Barr virus capsid Ab.IgM;ACnc;Ser;Qn;IA;{Index_val};http://loinc.org;Pt
30339-6;Epstein Barr virus capsid IgG Ab [Presence] in Serum;Epstein Barr virus capsid Ab.IgG;PrThr;Ser;Ord;;;http://loinc.org;Pt
24114-1;Epstein Barr virus capsid IgG Ab [Presence] in Serum by Immunoassay;Epstein Barr virus capsid Ab.IgG;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
7885-7;Epstein Barr virus capsid IgG Ab [Units/volume] in Serum;Epstein Barr virus capsid Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5157-3;Epstein Barr virus capsid IgG Ab [Units/volume] in Serum by Immunoassay;Epstein Barr virus capsid Ab.IgG;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
31369-2;Epstein Barr virus capsid IgA Ab [Units/volume] in Serum;Epstein Barr virus capsid Ab.IgA;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
31369-2;Epstein Barr virus capsid IgA Ab [Units/volume] in Serum;Epstein Barr virus capsid Ab.IgA;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
22295-0;Epstein Barr virus early IgG Ab [Presence] in Serum;Epstein Barr virus early Ab.IgG;PrThr;Ser;Ord;;;http://loinc.org;Pt
40752-8;Epstein Barr virus early IgG Ab [Presence] in Serum by Immunoassay;Epstein Barr virus early Ab.IgG;PrThr;Ser;Ord;IA;;http://loinc.org;Pt
24007-7;Epstein Barr virus early IgG Ab [Units/volume] in Serum;Epstein Barr virus early Ab.IgG;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
56598-6;Epstein Barr virus early IgM Ab [Units/volume] in Serum by Immunoassay;Epstein Barr virus early Ab.IgM;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
94102-1;Epstein Barr virus early diffuse IgA Ab [Units/volume] in Serum or Plasma by Immunoassay;Epstein Barr virus early diffuse Ab.IgA;ACnc;Ser/Plas;Qn;IA;[IU]/mL;http://loinc.org;Pt
X099145;IgA Anti EBV EBNA;;;Ser;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
31418-7;Heterophile Ab [Presence] in Serum;Heterophile Ab;PrThr;Ser;Ord;;;http://loinc.org;Pt
69420-8;Heterophile Ab [Presence] in Blood by Immunoassay;Heterophile Ab;PrThr;Bld;Ord;IA;;http://loinc.org;Pt
5213-4;Heterophile Ab [Presence] in Serum by Latex agglutination;Heterophile Ab;PrThr;Ser;Ord;LA;;http://loinc.org;Pt
11610-3;Heterophile Ab [Units/volume] in Serum;Heterophile Ab;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
7880-8;Entamoeba histolytica Ab [Units/volume] in Serum;Entamoeba histolytica Ab;ACnc;Ser;Qn;;[arb'U]/mL;http://loinc.org;Pt
5150-8;Entamoeba histolytica Ab [Units/volume] in Serum by Immunoassay;Entamoeba histolytica Ab;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
5150-8;Entamoeba histolytica Ab [Units/volume] in Serum by Immunoassay;Entamoeba histolytica Ab;ACnc;Ser;Qn;IA;[arb'U]/mL;http://loinc.org;Pt
22286-9;Entamoeba histolytica Ab [Titer] in Serum;Entamoeba histolytica Ab;Titr;Ser;Qn;;{titer};http://loinc.org;Pt
