loinc_code;loinc_display;loinc_component;loinc_property;loinc_system;loinc_scale;loinc_method;loinc_unitofmeasure;loinc_codesystem;loinc_timing
27819-2;Protein C actual/normal in Platelet poor plasma by Coagulation assay;Protein C actual/Normal;RelTime;PPP;Qn;Coag;%;http://loinc.org;Pt
X099083;Protein C kontrol;;;Ser/Plas;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
27822-6;Protein S actual/normal in Platelet poor plasma by Coagulation assay;Protein S actual/Normal;RelTime;PPP;Qn;Coag;%;http://loinc.org;Pt
31102-7;Protein S actual/normal in Platelet poor plasma by Chromogenic method;Protein S actual/Normal;RelCCnc;PPP;Qn;Chromo;%;http://loinc.org;Pt
27822-6;Protein S actual/normal in Platelet poor plasma by Coagulation assay;Protein S actual/Normal;RelTime;PPP;Qn;Coag;%;http://loinc.org;Pt
X099084;Protein S kontrol;;;Ser/Plas;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099085;Retraksi bekuan;;;Ser/Plas;;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099086;Volume serum;;;Ser/Plas;Qn;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
49008-6;Clot Retraction [Volume Fraction] in Blood;Coagulum retraction;VFr;Bld;Qn;;%;http://loinc.org;Pt
X099087;Konsistensi bekuan;;;Ser/Plas;;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099088;Waktu trombin serial;;;Ser/Plas;;;;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
5955-0;Thrombin time in Control Platelet poor plasma by Coagulation assay;Coagulation thrombin induced;Time;PPP^Control;Qn;Coag;s;http://loinc.org;Pt
3243-3;Thrombin time;Coagulation thrombin induced;Time;PPP;Qn;Coag;s;http://loinc.org;Pt
X099089;Waktu trombin 20 menit kontrol;;;Ser/Plas;Qn;;s;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099090;Waktu trombin 20 menit pasien;;;Ser/Plas;Qn;;s;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099091;Waktu trombin 40 menit kontrol;;;Ser/Plas;Qn;;s;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099092;Waktu trombin 40 menit pasien;;;Ser/Plas;Qn;;s;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099093;Waktu trombin 60 menit kontrol;;;Ser/Plas;Qn;;s;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
X099094;Waktu trombin 60 menit pasien;;;Ser/Plas;Qn;;s;http://terminology.kemkes.go.id/CodeSystem/examination;Pt
97915-3;Thrombin generation test panel - Platelet poor plasma;Thrombin generation test panel;-;PPP;-;;;http://loinc.org;Pt
97910-4;Endogenous thrombin potential [Area under the curve] in Platelet poor plasma by Chromogenic method;Endogenous thrombin potential;TmSCnc;PPP;Qn;Chromo;nmol.min/L;http://loinc.org;Pt
97911-2;Endogenous thrombin potential [Area under the curve] in Platelet poor plasma by Chromogenic method --after addition of factor VIII Ab;Endogenous thrombin potential^after addition of Factor VIII Ab;TmSCnc;PPP;Qn;Chromo;nmol.min/L;http://loinc.org;Pt
97912-0;Thrombin peak [Molar amount] in Platelet poor plasma by Chromogenic method;Thrombin peak;Sub;PPP;Qn;Chromo;nmol;http://loinc.org;Pt
97913-8;Thrombin peak [Molar amount] in Platelet poor plasma by Chromogenic method --after addition of factor VIII Ab;Thrombin peak^after addition of Factor VIII Ab;Sub;PPP;Qn;Chromo;nmol;http://loinc.org;Pt
97914-6;Time to thrombin peak in Platelet poor plasma by Chromogenic method;Time to thrombin peak;Time;PPP;Qn;Chromo;min;http://loinc.org;Pt
3243-3;Thrombin time;Coagulation thrombin induced;Time;PPP;Qn;Coag;s;http://loinc.org;Pt
3243-3;Thrombin time;Coagulation thrombin induced;Time;PPP;Qn;Coag;s;http://loinc.org;Pt
49010-2;Platelet aggregation ADP induced [Units/volume] in Platelet rich plasma;Platelet aggregation.adenosine diphosphate induced;ACnc;PRP;Qn;;[arb'U];http://loinc.org;Pt
